,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,E
201,0,74.116,129.695,307.212,262.854,382.070,350.598,533.762,437.651,679.903,943.923,1046.688,985.473,1024.704,994.213,1043.933,1011.337,1051.160,761.241
202,74.116,0,75.181,241.148,202.196,316.248,289.138,468.730,375.374,615.120,880.700,982.734,920.162,957.455,925.648,973.901,940.393,980.388,695.488
203,129.695,75.181,0,178.865,133.161,253.193,220.911,404.340,307.957,550.351,814.231,917.002,855.950,895.810,866.130,917.205,885.878,925.401,631.883
204,307.212,241.148,178.865,0,54.792,75.125,58.283,227.582,136.843,373.972,639.752,741.611,679.115,717.500,687.312,738.513,707.818,747.146,454.532
205,262.854,202.196,133.161,54.792,0,122.938,87.759,271.832,174.797,417.494,681.070,783.869,723.092,763.881,735.393,788.334,758.836,797.868,499.343
206,382.070,316.248,253.193,75.125,122.938,0,48.309,152.513,67.667,298.888,564.880,666.575,603.990,642.682,613.110,665.448,635.955,674.942,379.425
207,350.598,289.138,220.911,58.283,87.759,48.309,0,185.323,87.083,330.245,593.328,696.191,635.752,677.480,650.160,704.778,676.996,715.510,412.440
208,533.762,468.730,404.340,227.582,271.832,152.513,185.323,0,100.311,146.392,412.537,514.064,451.752,492.198,465.176,521.390,496.107,533.708,227.555
209,437.651,375.374,307.957,136.843,174.797,67.667,87.083,100.311,0,243.504,506.275,609.108,548.845,591.402,565.301,621.664,595.837,633.693,326.009
210,679.903,615.120,550.351,373.972,417.494,298.888,330.245,146.392,243.504,0,266.813,367.747,305.606,348.630,325.947,387.691,369.501,404.170,83.073
211,943.923,880.700,814.231,639.752,681.070,564.880,593.328,412.537,506.275,266.813,0,104.076,66.531,134.828,156.483,227.793,248.472,259.084,192.484
212,1046.688,982.734,917.002,741.611,783.869,666.575,696.191,514.064,609.108,367.747,104.076,0,71.998,99.013,148.751,198.308,237.557,231.139,289.636
213,985.473,920.162,855.950,679.115,723.092,603.990,635.752,451.752,548.845,305.606,66.531,71.998,0,68.539,98.570,165.369,192.633,197.681,224.754
214,1024.704,957.455,895.810,717.500,763.881,642.682,677.480,492.198,591.402,348.630,134.828,99.013,68.539,0,53.284,101.834,138.548,134.869,265.621
215,994.213,925.648,866.130,687.312,735.393,613.110,650.160,465.176,565.301,325.947,156.483,148.751,98.570,53.284,0,73.718,94.063,103.202,243.531
216,1043.933,973.901,917.205,738.513,788.334,665.448,704.778,521.390,621.664,387.691,227.793,198.308,165.369,101.834,73.718,0,51.528,33.048,307.203
217,1011.337,940.393,885.878,707.818,758.836,635.955,676.996,496.107,595.837,369.501,248.472,237.557,192.633,138.548,94.063,51.528,0,40.679,292.835
218,1051.160,980.388,925.401,747.146,797.868,674.942,715.510,533.708,633.693,404.170,259.084,231.139,197.681,134.869,103.202,33.048,40.679,0,325.565
E,761.241,695.488,631.883,454.532,499.343,379.425,412.440,227.555,326.009,83.073,192.484,289.636,224.754,265.621,243.531,307.203,292.835,325.565,0
